STREET,CURRENT_LAND_VALUE_2024,CURRENT_LAND_VALUE_2023,CURRENT_LAND_VALUE_2022,CURRENT_LAND_VALUE_2021,CURRENT_LAND_VALUE_2020,CURRENT_IMPROVEMENT_VALUE_2024,CURRENT_IMPROVEMENT_VALUE_2023,CURRENT_IMPROVEMENT_VALUE_2022,CURRENT_IMPROVEMENT_VALUE_2021,CURRENT_IMPROVEMENT_VALUE_2020
47 AVE,1356000,1388000,1204000,863000,814000.0,283000.0,286000.0,220000,119000,159000
47 AVE,1271000,1303000,1139000,827100,787000.0,213000.0,216000.0,168000,93100,141000
47 AVE,1254000,1286000,1125000,810500,768000.0,205000.0,209000.0,163000,83500,128000
47 AVE,1299000,1332000,1162000,835000,807000.0,252000.0,256000.0,201000,109000,168000
47A AVE,1126000,1155000,1012000,732200,695000.0,182000.0,186000.0,146000,78200,119000
47A AVE,1171000,1203000,1065000,762000,728000.0,210000.0,216000.0,184000,96000,142000
47A AVE,1276000,1303000,1121000,795000,784000.0,315000.0,317000.0,240000,129000,198000
47A AVE,1155000,1185000,1037000,744900,713000.0,194000.0,198000.0,156000,78900,127000
47A AVE,1168000,1195000,1044000,748100,717000.0,207000.0,208000.0,163000,82100,131000
47A AVE,6660000,6792000,5786000,4597000,4166000.0,1609000.0,1544000.0,1008000,990000,972000
47A AVE,1216000,1250000,1105000,812500,758000.0,169000.0,174000.0,144000,86500,119000
47A AVE,1201000,1234000,1087000,793800,745000.0,154000.0,158000.0,126000,67800,106000
47A AVE,1214000,1249000,1097000,802600,751000.0,167000.0,173000.0,136000,76600,112000
47A AVE,1214000,1247000,1099000,798700,753000.0,167000.0,171000.0,138000,72700,114000
47A AVE,1212000,1247000,1097000,801000,752000.0,165000.0,171000.0,136000,75000,113000
47A AVE,1213000,1246000,1099000,803400,757000.0,166000.0,170000.0,138000,77400,118000
47A AVE,1193000,1226000,1079000,792100,740000.0,146000.0,150000.0,118000,66100,101000
47A AVE,1202000,1235000,1087000,793600,745000.0,155000.0,159000.0,126000,67600,106000
47A AVE,1185000,1217000,1073000,787500,735300.0,138000.0,141000.0,112000,61500,96300
47A AVE,1299000,1331000,1159000,828000,797000.0,252000.0,255000.0,198000,102000,158000
47A AVE,1199000,1232000,1085000,794100,745000.0,152000.0,156000.0,124000,68100,106000
47A AVE,1317000,1348000,1172000,836000,814000.0,270000.0,272000.0,211000,110000,175000
47A AVE,1298000,1332000,1165000,834400,791000.0,216000.0,221000.0,173000,84400,131000
47A AVE,1272000,1303000,1138000,820400,756000.0,214000.0,216000.0,167000,86400,110000
47A AVE,1530000,1564000,1353000,960000,938000.0,362000.0,364000.0,282000,150000,226000
47A AVE,1215000,1246000,1091000,796800,755000.0,180000.0,183000.0,143000,80800,124000
47A AVE,1257000,1290000,1125000,806600,764000.0,199000.0,203000.0,154000,72600,118000
47A AVE,1393000,1424000,1234000,896000,882000.0,311000.0,313000.0,242000,146000,222000
47A AVE,1268000,1298000,1131000,814000,783000.0,241000.0,244000.0,189000,102000,156000
47A AVE,1283000,1314000,1146000,828000,790000.0,225000.0,227000.0,175000,94000,144000
47A AVE,1307000,1339000,1168000,839000,803000.0,225000.0,228000.0,176000,89000,143000
47A AVE,1358000,1390000,1208000,865000,835000.0,276000.0,279000.0,216000,115000,175000
48 AVE,1299000,1332000,1170000,847700,804000.0,188000.0,191000.0,151000,77700,126000
48 AVE,1309000,1340000,1162000,833000,806000.0,273000.0,276000.0,213000,116000,175000
48 AVE,1285000,1315000,1145000,823000,788000.0,249000.0,251000.0,196000,106000,157000
48 AVE,1336000,1367000,1189000,850000,824000.0,300000.0,303000.0,240000,133000,193000
48 AVE,1549000,1573000,1334000,884100,795200.0,336000.0,327000.0,219000,42100,54200
48 AVE,1358000,1394000,1381000,1018400,918000.0,0.0,0.0,136000,77400,90000
48 AVE,1116000,1143000,1007000,734700,693000.0,185000.0,187000.0,154000,89700,126000
48 AVE,435200,432800,415500,300100,299800.0,53200.0,50800.0,33500,33100,32800
48 AVE,2153000,2172000,1848000,1329000,1210000.0,1106000.0,1097000.0,888000,604000,572000
48 AVE,1254000,1281000,1105000,724900,692000.0,323000.0,325000.0,252000,79900,125000
48 AVE,1123000,1151000,1007000,725700,698000.0,192000.0,195000.0,154000,80700,131000
48 AVE,1907000,1961000,1733000,1273000,1179000.0,247000.0,256000.0,211000,123000,167000
48 AVE,1112000,1141000,1004000,728300,692000.0,181000.0,185000.0,151000,83300,125000
48 AVE,1458000,1498000,1324000,969600,899000.0,169000.0,175000.0,143000,77600,114000
48 AVE,1291000,1312000,1108000,829000,763000.0,243000.0,235000.0,146000,102000,123000
48 AVE,1689000,1721000,1476000,1074800,963400.0,196000.0,187000.0,108000,40800,53400
48 AVE,1197000,1220000,1043600,787800,717100.0,149000.0,143000.0,81600,60800,77100
48 AVE,1374000,1411000,1242000,907800,856000.0,190000.0,195000.0,155000,86800,133000
48 AVE,1305000,1341000,1176000,860800,806000.0,173000.0,179000.0,139000,76800,116000
48 AVE,1265800,1294800,1137000,859200,766400.0,61800.0,58800.0,33000,25200,32400
48 AVE,1396000,1430000,1255000,897000,852000.0,264000.0,268000.0,218000,113000,162000
48 AVE,1274000,1307000,1144000,830800,788000.0,204000.0,208000.0,162000,88800,135000
48 AVE,1485000,1521000,1328000,954000,917000.0,319000.0,323000.0,257000,145000,205000
48 AVE,1449000,1481000,1218000,876000,849000.0,369000.0,372000.0,228000,128000,190000
48 AVE,1383000,1423000,1261000,863000,771700.0,209000.0,217000.0,183000,49000,54700
48 AVE,1280000,1312000,1148000,838100,790000.0,191000.0,194000.0,150000,84100,126000
48 AVE,1413000,1449000,1274000,928600,872000.0,185000.0,188000.0,148000,77600,123000
48 AVE,1191000,1217000,1048900,789700,714100.0,108000.0,105000.0,55900,39700,54100
48 AVE,1435000,1463000,1241000,930800,852900.0,193000.0,188000.0,100000,68800,93900
48 AVE,1503000,1539000,1363000,904100,829700.0,277000.0,280000.0,239000,55100,81700
48 AVE,1305000,1338000,1168000,843400,802000.0,218000.0,221000.0,171000,90400,139000
48 AVE,1258000,1290000,1137000,830400,782000.0,164000.0,167000.0,132000,71400,114000
48 AVE,1252000,1285000,1132000,834900,780000.0,146000.0,149000.0,116000,66900,104000
48 AVE,1378000,1409000,1222000,868000,840000.0,291000.0,293000.0,226000,115000,177000
48 AVE,1348000,1381000,1207000,868600,827000.0,228000.0,230000.0,178000,90600,142000
48 AVE,1329000,1364000,1201000,868300,827000.0,194000.0,198000.0,160000,81300,134000
48 AVE,1304000,1336000,1166000,843100,800000.0,217000.0,220000.0,170000,90100,138000
48 AVE,1680000,1722000,1517000,1096000,1035000.0,255000.0,258000.0,211000,109000,166000
48 AVE,1739000,1774000,1538000,978000,973000.0,590000.0,594000.0,485000,182000,273000
48 AVE,1374000,1408000,1230000,891900,847000.0,225000.0,228000.0,177000,95900,147000
48 AVE,1170000,1201000,1053000,763600,720000.0,176000.0,181000.0,142000,74600,114000
48 AVE,1281000,1315000,1159000,854500,790500.0,133000.0,136000.0,107000,59500,90500
48 AVE,1340000,1375000,1205000,873700,830000.0,206000.0,211000.0,166000,88700,139000
48 AVE,1583000,1621000,1414000,1019000,975000.0,283000.0,286000.0,221000,117000,182000
48 AVE,1371000,1402000,1218000,873000,841000.0,273000.0,275000.0,212000,113000,172000
48 AVE,1572000,1615000,1427000,1045200,976000.0,204000.0,210000.0,172000,97200,142000
48 AVE,1469000,1502000,1307000,928000,906000.0,345000.0,348000.0,276000,149000,220000
48 AVE,1178600,1206500,1064300,801700,713700.0,54600.0,52500.0,33300,22700,27700
48 AVE,2940000,2975000,2755000,1649000,1977000.0,1627000.0,1627000.0,1550000,738000,1175000
48 AVE,1358000,1390000,1232000,883000,847000.0,234000.0,236000.0,201000,104000,161000
48 AVE,1441000,1473000,1275000,852400,800000.0,317000.0,318000.0,244000,73400,114000
48 AVE,1623000,1666000,1469000,1084700,999000.0,159000.0,162000.0,126000,69700,106000
48 AVE,1423000,1456000,1269000,929000,886000.0,263000.0,265000.0,205000,125000,179000
48 AVE,2222000,2236000,1906000,1382000,1598000.0,1012000.0,994000.0,795000,543000,859000
48 AVE,1603000,1641000,1448000,1058000,999000.0,241000.0,243000.0,200000,115000,169000
48 AVE,1229000,1259000,1099000,789100,757000.0,216000.0,219000.0,170000,87100,139000
48 AVE,1174000,1204000,1050000,748900,730000.0,230000.0,234000.0,184000,94900,154000
48 AVE,1168000,1200000,1058000,770700,724000.0,165000.0,170000.0,138000,75700,112000
48 AVE,1238000,1273000,1122000,819200,770000.0,183000.0,189000.0,154000,87200,126000
48 AVE,1304000,1335000,1171000,840000,810000.0,257000.0,259000.0,210000,114000,171000
48 AVE,1336000,1366000,1189000,868000,845000.0,279000.0,281000.0,219000,135000,200000
48 AVE,1287000,1317000,1149000,829100,792000.0,230000.0,232000.0,179000,96100,147000
48 AVE,1204000,1236000,1088000,794600,744000.0,153000.0,157000.0,124000,66600,103000
48 AVE,1258000,1289000,1131000,817900,783000.0,201000.0,204000.0,161000,84900,138000
48 AVE,1203000,1235000,1089000,798800,746000.0,146000.0,150000.0,119000,65800,101000
48 AVE,1243000,1275000,1131000,802400,749000.0,192000.0,196000.0,167000,74400,108000
48 AVE,1375000,1410000,1232000,882300,831000.0,227000.0,231000.0,180000,87300,131000
48 AVE,1490000,1529000,1348000,989300,909400.0,142000.0,145000.0,113000,56300,88400
48 AVE,1789000,1759000,1595000,1009000,926000.0,417000.0,350000.0,336000,58000,89000
48 AVE,1525000,1564000,1379000,1020700,934300.0,153000.0,155000.0,120000,69700,97300
48 AVE,1552000,1592000,1404000,998800,911900.0,180000.0,183000.0,145000,47800,74900
48 AVE,1680000,1719000,1499000,1079000,919200.0,308000.0,310000.0,240000,128000,82200
48 AVE,1513000,1552000,1371000,1007700,926400.0,141000.0,143000.0,112000,56700,89400
48 AVE,27980000,28441000,25683000,20232000,17190000.0,5999000.0,5580000.0,4915000,4528000,3323000
48 AVE,304000,304000,304000,212000,212000.0,0.0,0.0,0,0,0
48 AVE,1359000,1394000,1221000,880400,825000.0,201000.0,205000.0,159000,78400,119000
48 AVE,1187000,1219000,1075000,788000,735800.0,140000.0,143000.0,114000,62000,96800
48 AVE,1227000,1259000,1106000,803800,761000.0,180000.0,183000.0,145000,77800,122000
48 AVE,1285000,1317000,1148000,823500,790000.0,238000.0,241000.0,187000,97500,151000
48 AVE,1842000,1895000,1668000,1223100,1133000.0,208000.0,216000.0,170000,91100,136000
48 AVE,1277000,1308000,1139000,822300,778000.0,230000.0,232000.0,178000,96300,139000
48 AVE,1200000,1233000,1086000,792100,746000.0,153000.0,157000.0,125000,66100,107000
48 AVE,1187000,1220000,1075000,788500,736800.0,140000.0,144000.0,114000,62500,97800
48 AVE,1314000,1344000,1170000,842000,815000.0,260000.0,262000.0,203000,111000,172000
48 AVE,2172000,2207000,1633000,1193500,1114000.0,573000.0,565000.0,168000,86500,140000
48 AVE,1178000,1196000,1007300,752800,692100.0,184000.0,175000.0,95300,63800,86100
48 AVE,1170000,1204000,1062000,783700,726100.0,123000.0,128000.0,101000,57700,87100
48 AVE,373000,373000,373000,261000,261000.0,0.0,0.0,0,0,0
48 AVE,1320000,1355000,1189000,860900,816000.0,206000.0,211000.0,168000,88900,137000
48 AVE,1372000,1402000,1212000,863000,838000.0,309000.0,310000.0,236000,126000,189000
48 AVE,1205000,1232000,1068000,753000,736000.0,277000.0,279000.0,218000,110000,170000
48 AVE,1134000,1164000,1021000,745300,703000.0,157000.0,160000.0,126000,68300,108000
48 AVE,1150000,1180000,1035000,752100,712000.0,173000.0,176000.0,140000,75100,117000
48 AVE,1134000,1164000,1021000,744400,700000.0,157000.0,160000.0,126000,67400,105000
48 AVE,1286000,1314000,1133000,797000,785000.0,309000.0,310000.0,238000,120000,190000
48 AVE,1343000,1203000,1049000,758800,719000.0,366000.0,199000.0,154000,81800,124000
48 AVE,1822000,1866000,1627000,1150000,1107000.0,383000.0,388000.0,307000,153000,229000
48 AVE,1532000,1574000,1387000,1019900,949000.0,169000.0,174000.0,137000,74900,118000
48 AVE,1179000,1209000,1050000,759400,722000.0,202000.0,205000.0,155000,82400,127000
48 AVE,2168000,2204000,1907000,1388000,1524000.0,805000.0,804000.0,657000,443000,693000
48 AVE,1276000,1305000,1128000,784000,765000.0,299000.0,301000.0,233000,107000,170000
48 AVE,1218000,1248000,1084000,742500,700000.0,241000.0,244000.0,189000,65500,105000
48 AVE,1231000,1261000,1093000,746700,702000.0,254000.0,257000.0,198000,69700,107000
48 AVE,1740000,1778000,1540000,1096000,1059000.0,377000.0,378000.0,290000,151000,228000
48 AVE,1163000,1195000,1050000,765800,719000.0,156000.0,161000.0,126000,66800,104000
48 AVE,1160000,1192000,1047000,762100,712000.0,153000.0,158000.0,123000,63100,97000
48 AVE,1784000,1823000,1576000,1117000,1088000.0,411000.0,413000.0,316000,165000,250000
48 AVE,1965000,2017000,1776000,1306700,1218000.0,214000.0,218000.0,171000,93700,150000
48 AVE,1877000,1930000,1696000,1240000,1161000.0,245000.0,254000.0,200000,109000,166000
48 AVE,1814000,1860000,1635000,1199000,1126000.0,246000.0,250000.0,198000,113000,170000
48 AVE,2397000,2435000,2093000,1537000,1675000.0,823000.0,819000.0,650000,447000,715000
48 AVE,2072000,2114000,1846000,1364000,1409000.0,502000.0,501000.0,406000,276000,451000
48 AVE,1214000,1247000,1094000,795500,751000.0,167000.0,171000.0,133000,69500,112000
48 AVE,1183000,1214000,1066000,782100,731200.0,145000.0,148000.0,115000,64100,99200
48 AVE,1258000,1291000,1127000,813100,776000.0,222000.0,227000.0,178000,96100,145000
48 AVE,5803000,5957000,5219000,4133000,3739000.0,1070000.0,1035000.0,747000,751000,754000
48 AVE,1229000,1261000,1108000,807400,756000.0,165000.0,169000.0,132000,69400,107000
48 AVE,2438000,1153000,1105100,832800,755000.0,1315000.0,0.0,75100,54800,70000
48 AVE,1252000,1285000,1130000,821600,771000.0,170000.0,174000.0,138000,71600,111000
48 AVE,1263000,1298000,1140000,834900,780000.0,162000.0,167000.0,130000,71900,108000
48 AVE,1194000,1228000,1080000,782900,742000.0,196000.0,203000.0,165000,90900,133000
48 AVE,1280000,1309000,1134000,778700,740000.0,279000.0,281000.0,216000,84700,129000
48 AVE,1246000,1275000,1104000,784000,767000.0,289000.0,292000.0,226000,120000,183000
48 AVE,1069100,1091300,944700,708400,638400.0,87100.0,83300.0,45700,29400,40400
48 AVE,1112000,1140000,1005000,738600,685800.0,130000.0,132000.0,106000,59600,87800
48 AVE,1100000,1128000,992400,724900,667200.0,118000.0,120000.0,93400,45900,69200
48 AVE,1337000,1366000,1187000,880000,927000.0,383000.0,387000.0,312000,219000,345000
48 AVE,1311000,1345000,1185000,873800,806200.0,138000.0,140000.0,108000,59800,90200
48 AVE,1279000,1307000,1142000,845000,858000.0,305000.0,307000.0,249000,170000,264000
48 AVE,1547000,1583000,1373000,989000,959000.0,345000.0,349000.0,271000,156000,226000
48 AVE,1272000,1301000,1136000,839000,859000.0,316000.0,319000.0,259000,176000,276000
48 AVE,947000,0,0,0,0.0,0.0,0.0,0,0,0
48 AVE,1486000,1508000,1298000,880000,865000.0,530000.0,526000.0,421000,217000,282000
48 AVE,2375000,0,0,0,0.0,1343000.0,0.0,0,0,0
48 AVE,1586000,1619000,1417000,1066000,1143000.0,497000.0,501000.0,419000,312000,479000
48 AVE,1905000,1923000,1612000,1159000,1390000.0,975000.0,968000.0,760000,515000,823000
48 AVE,1430000,1464000,1277000,921000,880000.0,262000.0,265000.0,205000,111000,167000
48A AVE,221000,221000,221000,154000,154000.0,0.0,0.0,0,0,0
48A AVE,1463000,1489000,1289000,952000,1030000.0,473000.0,473000.0,381000,266000,426000
48A AVE,1393000,1426000,1236000,880000,858000.0,313000.0,317000.0,246000,132000,199000
48A AVE,1388000,1419000,1227000,868000,842000.0,330000.0,332000.0,256000,134000,196000
48A AVE,1299000,1334000,1177000,868800,801600.0,146000.0,150000.0,120000,69800,98600
48A AVE,1460000,1498000,1323000,974000,892700.0,138000.0,141000.0,110000,57000,85700
48A AVE,1476000,1507000,1306000,961000,1011000.0,429000.0,432000.0,346000,236000,373000
48A AVE,1382000,1414000,1227000,876000,851000.0,294000.0,297000.0,230000,123000,188000
48A AVE,1203000,1228000,1059500,799300,722700.0,115000.0,111000.0,62500,46300,59700
48A AVE,1498000,1529000,1329000,975000,1050000.0,451000.0,454000.0,369000,250000,412000
48A AVE,1246000,1270000,1085200,816300,740700.0,153000.0,147000.0,83200,59300,74700
48A AVE,1248000,1283000,1128000,826300,766800.0,149000.0,154000.0,120000,65300,96800
48A AVE,1255000,1288000,1131000,830000,771000.0,156000.0,159000.0,123000,69000,101000
48A AVE,1316000,1336000,1130000,847400,776500.0,206000.0,196000.0,112000,78400,99500
48A AVE,1304000,1324000,1120000,844400,767300.0,194000.0,184000.0,102000,75400,90300
48A AVE,1329000,1365000,1204000,880000,831000.0,219000.0,225000.0,186000,111000,154000
48A AVE,1450000,1486000,1298000,935000,849000.0,253000.0,256000.0,200000,105000,118000
48A AVE,2281000,2303000,2002000,1441000,1707000.0,1114000.0,1105000.0,932000,632000,995000
48A AVE,1579000,1613000,1399000,1011000,1059000.0,446000.0,449000.0,360000,226000,368000
48A AVE,1591000,1629000,1445000,1048000,999000.0,322000.0,326000.0,282000,169000,225000
48A AVE,1792000,1837000,1629000,1211300,1100700.0,145000.0,145000.0,119000,70300,96700
48A AVE,1158000,1187000,1049000,771700,714000.0,111000.0,112000.0,89000,46700,76000
48A AVE,1349000,1380000,1196000,852000,834000.0,300000.0,303000.0,234000,125000,194000
48A AVE,1395000,1430000,1246000,897000,865000.0,263000.0,268000.0,209000,113000,175000
48A AVE,1354000,1386000,1205000,855000,816000.0,260000.0,263000.0,203000,98000,149000
48A AVE,1307000,1340000,1176000,859600,806000.0,175000.0,178000.0,139000,75600,116000
48A AVE,1234000,1267000,1109000,808300,762000.0,187000.0,191000.0,148000,82300,123000
48A AVE,1204000,1236000,1089000,799200,742200.0,134000.0,137000.0,107000,57200,89200
48A AVE,1286000,1319000,1157000,841800,798000.0,204000.0,208000.0,165000,91800,138000
48A AVE,1294000,1327000,1160000,843000,798000.0,203000.0,207000.0,161000,88000,134000
48A AVE,1357000,1389000,1203000,861000,833000.0,299000.0,302000.0,232000,127000,187000
48A AVE,1239000,1272000,1116000,819100,764000.0,161000.0,164000.0,127000,72100,106000
48A AVE,1276000,1298000,1099000,821600,752200.0,194000.0,187000.0,107000,71600,92200
48A AVE,1368000,1398000,1212000,864000,834000.0,301000.0,302000.0,233000,124000,183000
48A AVE,1296000,1330000,1169000,853000,803000.0,212000.0,217000.0,175000,102000,142000
48A AVE,1451000,1484000,1280000,896000,888000.0,384000.0,388000.0,301000,156000,237000
48A AVE,1265000,1298000,1137000,830400,780000.0,182000.0,186000.0,145000,80400,120000
48A AVE,1271000,1304000,1142000,831200,784000.0,190000.0,194000.0,151000,82200,125000
48A AVE,1490000,1525000,1324000,950000,915000.0,301000.0,304000.0,234000,127000,190000
48A AVE,1335000,1369000,1202000,881800,819000.0,172000.0,175000.0,136000,75800,110000
48A AVE,1296000,1329000,1162000,841900,796000.0,209000.0,213000.0,166000,88900,133000
48A AVE,1276000,1309000,1146000,833900,785000.0,192000.0,196000.0,152000,82900,124000
48A AVE,1390000,1426000,1246000,905800,857000.0,227000.0,232000.0,180000,99800,148000
48A AVE,1247000,1279000,1122000,822400,766000.0,171000.0,174000.0,135000,76400,110000
48A AVE,1308000,1332000,1137700,856900,778800.0,159000.0,152000.0,84700,60900,78800
48A AVE,1351000,1383000,1203000,861000,829000.0,276000.0,278000.0,217000,116000,173000
48A AVE,1378000,1414000,1241000,901000,849000.0,232000.0,237000.0,191000,108000,151000
48A AVE,1262000,1296000,1135000,824500,778000.0,187000.0,191000.0,149000,79500,122000
48A AVE,1410000,1444000,1257000,907000,864000.0,262000.0,265000.0,205000,112000,164000
48A AVE,1337000,1373000,1204000,880600,827000.0,183000.0,187000.0,146000,80600,123000
48A AVE,1238000,1264000,1120000,819600,763000.0,191000.0,188000.0,159000,93600,124000
48A AVE,1410000,1447000,1255000,895000,875000.0,312000.0,319000.0,248000,134000,206000
48A AVE,1609000,1646000,1418000,991000,987000.0,451000.0,457000.0,356000,188000,281000
48A AVE,1271000,1304000,1143000,835100,783000.0,181000.0,184000.0,144000,80100,119000
48A AVE,1469000,1503000,1304000,934000,827000.0,304000.0,306000.0,235000,126000,116000
48A AVE,1738000,1782000,1567000,1135900,1074000.0,242000.0,246000.0,196000,99900,162000
48A AVE,1579000,1615000,1411000,1047000,1067000.0,372000.0,375000.0,303000,209000,330000
48A AVE,1308000,1339000,1169000,846400,800000.0,219000.0,221000.0,171000,92400,136000
48A AVE,1345000,1376000,1198000,863000,828000.0,256000.0,258000.0,200000,109000,165000
48A AVE,1355000,1386000,1199000,845000,815000.0,305000.0,307000.0,236000,117000,174000
48A AVE,1326000,1356000,1176000,822700,780000.0,279000.0,280000.0,215000,96700,141000
48A AVE,1349000,1381000,1201000,863000,832000.0,278000.0,281000.0,218000,120000,178000
48A AVE,1272000,1307000,1151000,842100,784300.0,137000.0,141000.0,111000,56100,92300
48A AVE,1289000,1320000,1151000,830400,791000.0,231000.0,233000.0,180000,96400,145000
48A AVE,1190000,1219000,1063000,737700,687800.0,207000.0,209000.0,162000,56700,88800
48A AVE,1318000,1348000,1191000,830800,770800.0,213000.0,214000.0,178000,65800,96800
48A AVE,1210000,1240000,1081000,776000,722000.0,227000.0,230000.0,180000,95000,123000
48A AVE,1199000,1229000,1071000,737600,694700.0,222000.0,225000.0,176000,60600,99700
48A AVE,1222000,1251000,1087000,775700,753000.0,245000.0,247000.0,192000,98700,158000
48A AVE,1099000,1129000,993800,731300,681100.0,122000.0,125000.0,98800,54300,86100
48A AVE,1218000,1248000,1091000,752600,704500.0,214000.0,217000.0,169000,55600,91500
48A AVE,1322000,1351000,1165000,844000,693700.0,339000.0,341000.0,264000,163000,94700
48A AVE,1178000,1208000,1062000,774200,730000.0,164000.0,167000.0,131000,71200,111000
48A AVE,1305000,1336000,1160000,826000,808000.0,270000.0,273000.0,212000,110000,177000
48A AVE,1214000,1245000,1092000,797600,757000.0,177000.0,180000.0,142000,79600,125000
48A AVE,1173000,1205000,1059000,778300,724100.0,136000.0,140000.0,109000,60300,92100
48A AVE,1574000,1609000,1411000,1045000,1064000.0,415000.0,419000.0,348000,242000,357000
48A AVE,1475000,1506000,1308000,954000,985000.0,413000.0,415000.0,333000,217000,337000
48A AVE,1572000,1601000,1386000,1010000,1076000.0,510000.0,510000.0,411000,273000,428000
48A AVE,1491000,1522000,1320000,973000,1016000.0,434000.0,436000.0,350000,240000,371000
48B AVE,1120000,1151000,1013000,742500,694200.0,137000.0,141000.0,112000,61500,95200
48B AVE,1125000,1155000,1016000,747300,699000.0,142000.0,145000.0,115000,66300,100000
48B AVE,1182000,1212000,1059000,745300,693600.0,193000.0,196000.0,151000,59300,89600
48B AVE,1235000,1264000,1099000,738000,687100.0,252000.0,254000.0,198000,57000,88100
48B AVE,1130000,1161000,1020000,744600,695300.0,147000.0,151000.0,119000,63600,96300
48B AVE,1262000,1291000,1125000,809000,724000.0,250000.0,252000.0,196000,107000,106000
48B AVE,1253000,1283000,1117000,803000,772000.0,247000.0,250000.0,194000,105000,158000
48B AVE,1142000,1173000,1030000,749800,702000.0,159000.0,163000.0,129000,68800,103000
48B AVE,1124000,1154000,1015000,745900,698800.0,141000.0,144000.0,114000,64900,99800
48B AVE,1137000,1168000,1027000,747500,703000.0,154000.0,158000.0,126000,66500,104000
48B AVE,1221000,1251000,1093000,784800,752000.0,214000.0,217000.0,169000,85800,137000
48B AVE,1225000,1255000,1095000,788100,758000.0,218000.0,221000.0,171000,89100,143000
48B AVE,1210000,1240000,1079000,772500,748000.0,233000.0,236000.0,184000,95500,153000
48B AVE,1303000,1331000,1146000,801000,793000.0,326000.0,327000.0,251000,124000,198000
48B AVE,1182000,1211000,1059000,734900,687700.0,199000.0,201000.0,158000,53900,88700
48B AVE,1361000,1396000,1225000,890400,842000.0,193000.0,196000.0,154000,80400,130000
49 AVE,1494000,1532000,1337000,961000,935000.0,324000.0,330000.0,264000,150000,221000
49 AVE,1322000,1354000,1176000,833900,798000.0,264000.0,267000.0,205000,99900,152000
49 AVE,1358000,1392000,1210000,868000,844000.0,278000.0,283000.0,220000,120000,185000
49 AVE,1487000,1528000,1348000,989500,919000.0,165000.0,171000.0,135000,72500,112000
49 AVE,1385000,1414000,1228000,902000,946000.0,397000.0,399000.0,322000,217000,343000
49 AVE,1176000,1210000,1066000,765000,723000.0,188000.0,195000.0,160000,80000,120000
49 AVE,1308000,1345000,1186000,869400,809900.0,144000.0,149000.0,118000,62400,99900
49 AVE,2068000,2088000,1759000,774500,0.0,1028000.0,1020000.0,806000,54500,0
49 AVE,1538000,1578000,1394000,1029000,949000.0,199000.0,203000.0,166000,101000,132000
49 AVE,1396000,1433000,1265700,933100,860000.0,123000.0,125000.0,99700,52100,84000
49 AVE,1512000,1554000,1381000,1000300,932000.0,190000.0,197000.0,168000,83300,125000
49 AVE,1661000,1704000,1495000,1085000,1021000.0,257000.0,262000.0,207000,112000,165000
49 AVE,1468000,1503000,1306000,907500,861000.0,301000.0,304000.0,236000,98500,149000
49 AVE,1261000,1291000,1129000,819300,782000.0,214000.0,215000.0,168000,93300,143000
49 AVE,1301000,1334000,1176000,874000,809000.0,201000.0,205000.0,168000,112000,138000
49 AVE,1388000,1423000,1258700,930500,853700.0,111000.0,112000.0,88700,46500,75700
49 AVE,1398000,1435000,1267600,935700,857600.0,121000.0,124000.0,97600,51700,79600
49 AVE,1419000,1453000,1262000,904000,880000.0,307000.0,311000.0,242000,133000,201000
49 AVE,1349000,1377000,1194000,900400,810100.0,127000.0,122000.0,71000,51400,63100
49 AVE,1378000,1410000,1223000,866000,843000.0,296000.0,299000.0,231000,116000,183000
49 AVE,1312000,1338000,1191000,861000,814000.0,254000.0,251000.0,220000,127000,168000
49 AVE,1280000,1311000,1159000,843500,799000.0,198000.0,200000.0,167000,93500,139000
49 AVE,1121000,1151000,1028000,839900,768100.0,0.0,0.0,0,62900,84100
49 AVE,1301000,1334000,1171000,855300,804000.0,180000.0,183000.0,143000,78300,120000
49 AVE,1415000,1447000,1256000,896000,866000.0,294000.0,296000.0,228000,119000,182000
49 AVE,1184000,1215000,1072900,792200,734900.0,114000.0,116000.0,90900,50200,81900
49 AVE,1331000,1361000,1184000,848000,814000.0,261000.0,262000.0,203000,106000,161000
49 AVE,1241000,1273000,1118000,818800,764000.0,165000.0,168000.0,131000,72800,108000
49 AVE,1217000,1252000,1100000,801500,752000.0,159000.0,165000.0,129000,67500,106000
49 AVE,1262000,1295000,1135000,828700,777000.0,180000.0,184000.0,143000,78700,117000
49 AVE,1220000,1253000,1102000,803800,751100.0,145000.0,148000.0,116000,58800,95100
49 AVE,1352000,1386000,1216000,884800,837000.0,204000.0,207000.0,164000,89800,137000
49 AVE,1261000,1281000,1081600,795300,724700.0,186000.0,177000.0,95600,50300,68700
49 AVE,1338000,1376000,1205000,879100,821000.0,190000.0,197000.0,153000,84100,121000
49 AVE,1415000,1486000,1277000,951900,858200.0,134000.0,170000.0,103000,63900,77200
49 AVE,1586000,1627000,1428000,1049500,984000.0,207000.0,211000.0,164000,94500,143000
49 AVE,1757000,1784000,1541000,1120000,1133000.0,652000.0,650000.0,528000,355000,459000
49 AVE,1299000,1332000,1167000,846800,796000.0,194000.0,198000.0,154000,81800,122000
49 AVE,1404000,1442000,1270000,936000,861700.0,131000.0,134000.0,104000,55000,85700
49 AVE,1196300,1221500,1068400,807400,719900.0,64300.0,59500.0,30400,22400,28900
